,IoU,F1,Prec,recall,Acc
"bg,",0.9936846850106161,0.9967823428998189,0.9944804420847708,0.9991953887602673,0.9939544677734375
real potato,0.07217546452211854,0.13462112311739158,0.999999823321586,0.07217546452211854,0.9988897705078125
fake potato,0.6193967193255819,0.7649249349154165,0.9999999661819422,0.6193967193255819,0.9997227478027344
real apple,0.51145503134458,0.6767221415294798,0.6217317212734919,0.7425033138323603,0.9975531005859375
fake apple,0.704425385864691,0.8265346337781277,0.930330143433287,0.7436550244760143,0.9988218688964844
real orange,0.41419914926032747,0.5857298746084841,0.9702731395213406,0.41952292242331035,0.9992181396484375
fake orange,0.6210255318269479,0.7661650379028905,0.6413277746755002,0.9514977030620525,0.9983377075195312
real grape,0.2374212879315065,0.38369090573281656,0.5695583287360332,0.28933713155494317,0.9980596923828124
fake grape,0.7054688981787376,0.8272523648194973,0.7606935189621625,0.906694712260468,0.9985997009277344
real lemon,0.28289955213406415,0.44098351045200596,0.3672975510561097,0.5518047188807489,0.9983561706542968
fake lemon,0.8083819646411508,0.8939892647123667,0.9699628672800974,0.8291381115821269,0.9995841979980469
real avocado,0.6677009778885615,0.8006942838823177,0.8256016598255727,0.7773398887136307,0.9996405029296875
fake avocado,0.2275287464500264,0.3706727180361666,0.7403588873478851,0.24725834930810572,0.9989955139160156
real pepper,0.6898510054694091,0.8164137066960222,0.8121001988688036,0.8208743499880096,0.9986500549316406
fake pepper,0.5116189711822612,0.676870474960275,0.9999999874874876,0.5116189711822613,0.9988359069824219
real plant,0.7474014744434063,0.8553933810776678,0.8808319447941435,0.8314772991953299,0.9971891784667969
fake plant,0.5380963086355832,0.6996440265303021,0.5673420671353747,0.912576669620846,0.9993765258789062
real banana,0.017044682758083102,0.03351476526899338,0.9999996015937842,0.017044682758083102,0.9977912902832031
fake banana,0.612624237687981,0.7597355382477564,0.7341067228607369,0.7873258063426858,0.9990841674804688
real onion,0.3594658231034434,0.5287907129215862,0.8374816677349316,0.3864212061067183,0.9993778991699219
fake onion,0.7530834158867372,0.8591039576041855,0.9999999678869631,0.7530834158867372,0.9998442077636719
real unknown,0.44001917274380165,0.6110841332171412,0.46953402613753065,0.8749999165076415,0.9998219299316407
fake unknown,0.20432692167357888,0.3392782103383998,0.2476483788591661,0.5387540648541459,0.9982322692871094
total,0.5104041481723128,0.6368953062282221,0.7800287124808132,0.6340737317888777,0.99860595703125
total(-bg),0.488436851043299,0.6205368045613313,0.7702809065897239,0.6174772928356327,0.9988173883611506
