,names,fruit,realfake,masks
0,2021-11-03_007,eeeee,fffrr,True
1,2021-11-03_008,aooaa,rrrrr,True
2,2021-11-03_010,loooll,rrfrfr,True
3,2021-11-03_015,gg,ff,True
4,2021-11-03_017,ga,ff,True
5,2021-11-03_018,oooo,rfrf,True
6,2021-11-03_020,aaaa,ffrr,True
7,2021-11-03_021,aaa,frf,True
8,2021-11-03_022,alaoa,rrrrr,True
9,2021-11-03_023,auoaaa,ffffff,True
10,2021-11-03_024,auoaaa,fffrrf,True
11,2021-11-03_025,alaoo,ffrfr,True
12,2021-11-03_032,g,r,True
13,2021-11-03_033,g,r,True
14,2021-11-03_034,gg,rr,True
15,2021-11-03_035,gg,rr,True
16,2021-11-03_036,gg,rr,True
17,2021-11-03_037,gg,rr,True
18,2021-11-03_038,g,r,True
19,2021-11-03_040,g,f,True
20,2021-11-03_041,g,f,True
21,2021-11-03_042,gg,ff,True
22,2021-11-03_043,gg,ff,True
23,2021-11-03_045,gg,ff,True
24,2021-11-03_046,gg,ff,True
25,2021-11-03_047,gg,ff,True
26,2021-11-03_048,ggg,fff,True
27,2021-11-03_049,gg,rf,True
28,2021-11-03_051,gg,fr,True
29,2021-11-03_052,gg,rf,True
30,2021-11-03_053,gg,fr,True
31,2021-11-03_054,gg,fr,True
32,2021-11-03_055,ggg,frf,True
33,2021-11-03_056,gg,fr,True
34,2021-11-03_057,ggg,rff,True
35,2021-11-03_058,gg,rf,True
36,2021-11-03_080,lll,frr,True
37,2021-11-03_081,llll,rfrf,True
38,2021-11-03_082,llll,rrff,True
39,2021-11-03_083,llll,rrff,True
40,2021-11-03_084,llll,ffrr,True
41,2021-11-03_085,llll,rfrf,True
42,2021-11-03_086,llll,rfrf,True
43,2021-11-03_087,llll,ffrr,True
44,2021-11-03_088,llll,frfr,True
45,2021-11-03_089,llll,ffrr,True
46,2021-11-03_090,llll,frfr,True
47,2021-11-03_091,llll,frrf,True
48,2021-11-03_092,e,r,True
49,2021-11-03_093,e,r,True
50,2021-11-03_094,ee,rr,True
51,2021-11-03_099,e,r,True
52,2021-11-03_100,ee,rr,True
53,2021-11-03_101,e,r,True
